times,home_teams,score_home,score_away,away_teams
26.12. 16:00,Sheffield Utd,2,3,Luton
26.12. 13:30,Newcastle,1,3,Nottingham
24.12. 14:00,Wolves,2,1,Chelsea
23.12. 18:30,Liverpool,1,1,Arsenal
23.12. 16:00,Fulham,0,2,Burnley
23.12. 16:00,Luton,1,0,Newcastle
23.12. 16:00,Nottingham,2,3,Bournemouth
23.12. 16:00,Tottenham,2,1,Everton
23.12. 13:30,West Ham,2,0,Manchester Utd
22.12. 21:00,Aston Villa,1,1,Sheffield Utd
21.12. 21:00,Crystal Palace,1,1,Brighton
17.12. 17:30,Liverpool,0,0,Manchester Utd
17.12. 15:00,Arsenal,2,0,Brighton
17.12. 15:00,Brentford,1,2,Aston Villa
17.12. 15:00,West Ham,3,0,Wolves
16.12. 18:30,Burnley,0,2,Everton
16.12. 16:00,Chelsea,2,0,Sheffield Utd
16.12. 16:00,Manchester City,2,2,Crystal Palace
16.12. 16:00,Newcastle,3,0,Fulham
15.12. 21:00,Nottingham,0,2,Tottenham
10.12. 17:30,Tottenham,4,1,Newcastle
10.12. 15:00,Everton,2,0,Chelsea
10.12. 15:00,Fulham,5,0,West Ham
10.12. 15:00,Luton,1,2,Manchester City
09.12. 18:30,Aston Villa,1,0,Arsenal
09.12. 16:00,Brighton,1,1,Burnley
09.12. 16:00,Manchester Utd,0,3,Bournemouth
09.12. 16:00,Sheffield Utd,1,0,Brentford
09.12. 16:00,Wolves,1,1,Nottingham
09.12. 13:30,Crystal Palace,1,2,Liverpool
07.12. 21:15,Tottenham,1,2,West Ham
07.12. 20:30,Everton,3,0,Newcastle
06.12. 21:15,Aston Villa,1,0,Manchester City
06.12. 21:15,Manchester Utd,2,1,Chelsea
06.12. 20:30,Brighton,2,1,Brentford
06.12. 20:30,Crystal Palace,0,2,Bournemouth
06.12. 20:30,Fulham,5,0,Nottingham
06.12. 20:30,Sheffield Utd,0,2,Liverpool
05.12. 21:15,Luton,3,4,Arsenal
05.12. 20:30,Wolves,1,0,Burnley
03.12. 17:30,Manchester City,3,3,Tottenham
03.12. 15:00,Bournemouth,2,2,Aston Villa
03.12. 15:00,Chelsea,3,2,Brighton
03.12. 15:00,Liverpool,4,3,Fulham
03.12. 15:00,West Ham,1,1,Crystal Palace
02.12. 21:00,Newcastle,1,0,Manchester Utd
02.12. 18:30,Nottingham,0,1,Everton
02.12. 16:00,Arsenal,2,1,Wolves
02.12. 16:00,Brentford,3,1,Luton
02.12. 16:00,Burnley,5,0,Sheffield Utd
27.11. 21:00,Fulham,3,2,Wolves
26.11. 17:30,Everton,0,3,Manchester Utd
26.11. 15:00,Tottenham,1,2,Aston Villa
25.11. 18:30,Brentford,0,1,Arsenal
25.11. 16:00,Burnley,1,2,West Ham
25.11. 16:00,Luton,2,1,Crystal Palace
25.11. 16:00,Newcastle,4,1,Chelsea
25.11. 16:00,Nottingham,2,3,Brighton
25.11. 16:00,Sheffield Utd,1,3,Bournemouth
25.11. 13:30,Manchester City,1,1,Liverpool
12.11. 17:30,Chelsea,4,4,Manchester City
12.11. 15:00,Aston Villa,3,1,Fulham
12.11. 15:00,Brighton,1,1,Sheffield Utd
12.11. 15:00,Liverpool,3,0,Brentford
12.11. 15:00,West Ham,3,2,Nottingham
11.11. 18:30,Bournemouth,2,0,Newcastle
11.11. 16:00,Arsenal,3,1,Burnley
11.11. 16:00,Crystal Palace,2,3,Everton
11.11. 16:00,Manchester Utd,1,0,Luton
11.11. 13:30,Wolves,2,1,Tottenham
06.11. 21:00,Tottenham2,1,4,Chelsea
05.11. 17:30,Luton,1,1,Liverpool
05.11. 15:00,Nottingham,2,0,Aston Villa
04.11. 18:30,Newcastle,1,0,Arsenal
04.11. 16:00,Brentford,3,2,West Ham
04.11. 16:00,Burnley,0,2,Crystal Palace
04.11. 16:00,Everton,1,1,Brighton
04.11. 16:00,Manchester City,6,1,Bournemouth
04.11. 16:00,Sheffield Utd,2,1,Wolves
04.11. 13:30,Fulham,0,1,Manchester Utd
29.10. 16:30,Manchester Utd,0,3,Manchester City
29.10. 15:00,Aston Villa,3,1,Luton
29.10. 15:00,Brighton,1,1,Fulham
29.10. 15:00,Liverpool,3,0,Nottingham
29.10. 14:00,West Ham,0,1,Everton
28.10. 18:30,Wolves,2,2,Newcastle
28.10. 16:00,Arsenal,5,0,Sheffield Utd
28.10. 16:00,Bournemouth,2,1,Burnley
28.10. 13:30,Chelsea,0,2,Brentford
27.10. 21:00,Crystal Palace,1,2,Tottenham
23.10. 21:00,Tottenham,2,0,Fulham
22.10. 17:30,Aston Villa,4,1,West Ham
21.10. 21:00,Sheffield Utd,1,2,Manchester Utd
21.10. 18:30,Chelsea,2,2,Arsenal
21.10. 16:00,Bournemouth,1,2,Wolves
21.10. 16:00,Brentford,3,0,Burnley
21.10. 16:00,Manchester City,2,1,Brighton
21.10. 16:00,Newcastle,4,0,Crystal Palace
21.10. 16:00,Nottingham,2,2,Luton
21.10. 13:30,Liverpool,2,0,Everton
08.10. 17:30,Arsenal,1,0,Manchester City
08.10. 15:00,Brighton,2,2,Liverpool
08.10. 15:00,West Ham,2,2,Newcastle
08.10. 15:00,Wolves,1,1,Aston Villa
07.10. 18:30,Crystal Palace,0,0,Nottingham
07.10. 16:00,Burnley,1,4,Chelsea
07.10. 16:00,Everton,3,0,Bournemouth
07.10. 16:00,Fulham,3,1,Sheffield Utd
07.10. 16:00,Manchester Utd,2,1,Brentford
07.10. 13:30,Luton,0,1,Tottenham
03.10. 20:30,Luton,1,2,Burnley
02.10. 21:00,Fulham,0,2,Chelsea
01.10. 15:00,Nottingham,1,1,Brentford
30.09. 18:30,Tottenham,2,1,Liverpool2
30.09. 16:00,Bournemouth,0,4,Arsenal
30.09. 16:00,Everton,1,2,Luton
30.09. 16:00,Manchester Utd,0,1,Crystal Palace
30.09. 16:00,Newcastle,2,0,Burnley
30.09. 16:00,West Ham,2,0,Sheffield Utd
30.09. 16:00,Wolves,2,1,Manchester City
30.09. 13:30,Aston Villa,6,1,Brighton
24.09. 17:30,Sheffield Utd,0,8,Newcastle
24.09. 15:00,Arsenal,2,2,Tottenham
24.09. 15:00,Brighton,3,1,Bournemouth
24.09. 15:00,Chelsea,0,1,Aston Villa
24.09. 15:00,Liverpool,3,1,West Ham
23.09. 21:00,Burnley,0,1,Manchester Utd
23.09. 18:30,Brentford,1,3,Everton
23.09. 16:00,Crystal Palace,0,0,Fulham
23.09. 16:00,Luton,1,1,Wolves
23.09. 16:00,Manchester City,2,0,Nottingham
18.09. 20:45,Nottingham,1,1,Burnley
17.09. 17:30,Everton,0,1,Arsenal
17.09. 15:00,Bournemouth,0,0,Chelsea
16.09. 18:30,Newcastle,1,0,Brentford
16.09. 16:00,Aston Villa,3,1,Crystal Palace
16.09. 16:00,Fulham,1,0,Luton
16.09. 16:00,Manchester Utd,1,3,Brighton
16.09. 16:00,Tottenham,2,1,Sheffield Utd
16.09. 16:00,West Ham,1,3,Manchester City
16.09. 13:30,Wolves,1,3,Liverpool
03.09. 17:30,Arsenal,3,1,Manchester Utd
03.09. 15:00,Crystal Palace,3,2,Wolves
03.09. 15:00,Liverpool,3,0,Aston Villa
